dstag,delta,gamma_e,Ma_edge,p_exi,T_ratio,Ma0,R0,R,uR,rhoR,pR,T_w
4.20056593057338,0.0534632300802907,1.40870838772566,1.19059349352597,-0.0254386055310633,4.00399254866984,1.19057402681408,94.1175060309427,94.1228183889781,1.0000564438887,1,0.709846912339295,0.249750714529228
4.18012004618314,0.0532928359410548,1.40865543018548,1.17444089365608,-0.0188036707264988,4.18642518089931,1.17443247148762,140.178397513964,140.181964351991,1.00002544499074,1,0.70988663103314,0.238867280982957
4.15800971731955,0.0530999145212353,1.4086045117224,1.1621859200981,-0.0146830790375863,4.25453256145504,1.16218166800306,194.19244264841,194.195017396832,1.00001325874677,1,0.709917279323005,0.235043447324799
4.13410763671912,0.0529508895219637,1.40855425729451,1.15219446848293,-0.0123502691967584,4.28536092206623,1.15219191144669,247.180603927301,247.182626731462,1.00000818350683,1,0.709944651600367,0.233352573607229
4.10827792961246,0.0528401634051676,1.40850108443895,1.14330804471957,-0.0110660193957915,4.30279271723848,1.14330628129094,294.192809825783,294.194509386544,1.00000577703025,1,0.709972414126805,0.232407198235149
4.08037609673302,0.0532128682994975,1.40844457551879,1.1348406174945,-0.0102484140459328,4.31196121904763,1.13483931853222,338.953588257639,338.955063382639,1.000004351997,1,0.710001464126621,0.231913031959241
4.05024903722457,0.0531650260857238,1.40837815509964,1.12727869758502,-0.0100453626854811,4.31685677368256,1.12727761560955,367.653906988967,367.65526696112,1.00000369905535,1,0.710035210895781,0.231650029738405
4.01773389500711,0.0537401809596794,1.40831672890949,1.11877513162756,-0.00977363386998435,4.31943705000777,1.11877426681073,406.556097269297,406.557327110018,1.00000302502097,1,0.710066445612982,0.231511650343
3.98265885473233,0.053761440698257,1.40826581805351,1.10937314260535,-0.00974159657506519,4.32051846820867,1.10937243867863,444.932422451561,444.933546216302,1.00000252569758,1,0.710092312209549,0.231453703382643
3.94484238743314,0.0540822203918182,1.40822041509651,1.0985922749827,-0.0096502759056395,4.32038282181216,1.09859173548996,500.817172513428,500.818170880755,1.00000199347662,1,0.710115410291721,0.231460970299052
3.90409406426158,0.0539660922546051,1.40817876848468,1.08746051279033,-0.00969116266914431,4.31968886620226,1.08746010196178,565.177705245532,565.178589922341,1.00000156530734,1,0.710136572717986,0.231498154374986
3.8602132608989,0.0539100895269955,1.40814034988444,1.07528764259215,-0.0097198961918437,4.31814563814332,1.07528734999816,658.459339373919,658.460098721811,1.00000115321911,1,0.710156097626804,0.231580887677047
3.81299145025122,0.0536824294002437,1.40810505900575,1.06239820375465,-0.00978688791199172,4.31615473072805,1.06239800968197,793.971171142086,793.971800887624,1.0000007931592,1,0.710174023064626,0.231687708709952
3.7622106632908,0.0537949757748833,1.40807332032514,1.04815618937302,-0.00973141990003175,4.31343717684176,1.04815608114297,1041.84747898459,1041.84795890117,1.00000046063996,1,0.71019014354592,0.231833676718154
3.70764444304534,0.0536592237075868,1.40804610786178,1.03321957801319,-0.00973671314431556,4.31022538792547,1.03321952934843,1520.56945314226,1520.5697819664,1.00000021625066,1,0.710203948731729,0.232006428898444
3.64905980044148,0.0532652944866645,1.40802343190509,1.01773580932371,-0.00983991053770295,4.3057514460811,1.01773579599014,2839.82761945848,2839.8277955255,1.00000006199919,1,0.710215434727931,0.232247497915876
3.5862167095378,0.0530725691548095,1.4080058983226,1.000847126522,-0.00988583360572644,4.30105900039396,1.00084712649329,59679.3995289303,59679.3995373084,1.00000000014039,1,0.710224297450711,0.23250087941328
3.51887000536048,0.0530020008638704,1.40799485162051,0.982454941143596,-0.00987111246877669,4.29523555147539,0.982454929741668,2912.57532554907,2912.57549721845,-1.00000005894075,1,0.710229853211447,0.232816102403628
3.44677090372897,0.0525009507297812,1.40799111242671,0.963754024199554,-0.0100047265575915,4.28804144323414,0.963753977898832,1404.27048011118,1404.27083616789,-1.0000002535528,1,0.710231687608008,0.233206701296659
3.36966926001039,0.0521251005805263,1.40799517443881,0.94344288692975,-0.0100872251497693,4.28054569566317,0.943442781637933,901.931579953605,901.93213431921,-1.00000061464264,1,0.710229548329931,0.23361507412785
3.28731412019909,0.0518181324324959,1.40800780900658,0.92143086386963,-0.0101113900427337,4.27146879752048,0.921430677934932,655.115820085752,655.11658330913,-1.00000116502053,1,0.710223047077705,0.234111507634209
3.19945813915967,0.0512235012025187,1.40802945791554,0.898581154878258,-0.0101917832088986,4.26191287506515,0.898580869851771,509.57605202719,509.577033234051,-1.00000192553566,1,0.710211963241311,0.234636424843554
3.10585923586313,0.0503616577862046,1.40805366367592,0.874907731035163,-0.0105731275741183,4.25104254577597,0.874907310933895,403.269032871022,403.2702727362,-1.00000307453605,1,0.710199522550053,0.235236413005004
3.00628358478505,0.0492305165249237,1.40807909263206,0.849001564975298,-0.010830296722694,4.24008641984585,0.84900099416862,330.7197804167,330.721292267175,-1.00000457139417,1,0.71018642388702,0.235844249617053
2.90518608293315,0.0485889848987559,1.40812426173766,0.822196402396975,-0.0108400331056012,4.22953875190186,0.822195702927276,284.737612560017,284.739368557245,-1.00000616707154,1,0.710163389487014,0.236432400471645
2.80408784028128,0.0481163348289906,1.40817694451475,0.795179403512627,-0.0110403711070482,4.21976800322754,0.795178558060831,246.346928348542,246.348957998124,-1.0000082389888,1,0.710136519031586,0.236979852739567
